NumTrials=720, DotSize = 2, Nx = 246, StimulusDuration = 5.000000e-01 
Disparity, MouseButton, ReactionTime, RefreshRate, DotMatch
1,3,0.72318,42.5,0.5
-1,1,0.85502,5.3125,1
-1,1,0.89339,5.3125,0.5
-1,1,0.74749,10.625,0
1,1,0.7587,21.25,0
1,1,0.74701,21.25,0.5
1,1,1.3601,21.25,0
-1,1,0.74465,5.3125,0
1,3,0.744,42.5,1
1,1,1.0655,5.3125,1
1,3,0.8006,21.25,0.5
-1,1,0.77373,21.25,0
1,3,1.1318,42.5,0
-1,3,0.71953,21.25,0
1,1,0.95911,10.625,0.5
1,1,0.9672,21.25,0
-1,1,0.77538,5.3125,0.5
1,3,0.90714,42.5,1
1,3,1.071,10.625,0
1,1,0.82323,42.5,1
-1,1,0.876,21.25,1
-1,1,0.6931,42.5,1
1,3,0.84755,42.5,0
-1,1,0.74354,21.25,0.5
-1,1,0.61547,10.625,1
-1,1,1.1124,10.625,0.5
1,3,0.7535,42.5,1
-1,1,0.88481,21.25,0.5
-1,1,1.0177,21.25,1
-1,3,0.69534,5.3125,0
-1,1,0.96607,42.5,0.5
-1,1,0.85673,42.5,1
-1,1,1.2182,10.625,1
-1,3,0.61306,42.5,0
1,1,0.92745,10.625,0
1,1,2.2003,21.25,0
-1,1,0.91768,21.25,0.5
-1,1,2.5937,5.3125,1
-1,1,0.87356,5.3125,1
1,3,0.71779,42.5,0
-1,1,0.82361,42.5,0.5
-1,1,0.88175,5.3125,0
-1,3,0.60087,21.25,0.5
-1,1,0.93335,5.3125,0
1,1,0.78206,10.625,0
-1,1,0.74553,10.625,1
-1,3,0.79917,42.5,0
-1,1,0.6998,21.25,1
-1,3,1.012,5.3125,0.5
-1,1,0.60225,10.625,0.5
-1,1,0.95041,42.5,1
-1,1,0.76378,10.625,0
1,3,0.74983,42.5,0
-1,1,0.58524,21.25,0
-1,1,0.57937,5.3125,0.5
1,3,0.86294,5.3125,1
-1,1,0.62285,42.5,1
-1,1,0.75822,5.3125,1
-1,3,0.89668,10.625,0.5
1,3,1.0297,5.3125,0
-1,1,0.69574,10.625,0.5
-1,3,0.85786,21.25,0
-1,1,0.89307,42.5,0.5
1,1,1.2634,42.5,1
-1,3,0.83822,5.3125,0.5
1,3,0.84818,5.3125,1
1,1,0.97949,5.3125,0.5
1,1,0.82132,5.3125,0.5
-1,3,1.2579,10.625,0.5
1,1,0.75941,21.25,0.5
-1,1,0.74842,42.5,0.5
1,1,0.76861,21.25,0.5
-1,1,0.67304,10.625,0.5
1,3,0.68755,42.5,0
-1,1,0.77752,42.5,0.5
1,1,0.83539,42.5,0
1,3,0.93848,42.5,0.5
1,1,0.80948,10.625,0
-1,1,0.96296,5.3125,0
1,3,0.78768,10.625,0
-1,1,0.93858,5.3125,0
-1,1,0.74057,5.3125,1
-1,1,0.73969,10.625,0.5
-1,1,0.8184,10.625,0.5
