NumTrials=720, DotSize = 2, Nx = 192, StimulusDuration = 5.000000e-01 
Disparity, MouseButton, ReactionTime, RefreshRate, DotMatch
-1,1,0.50773,5.3125,1
-1,1,0.50739,10.625,1
1,3,0.57851,42.5,1
-1,3,0.59242,21.25,0
1,3,0.54973,10.625,0
-1,1,0.50614,21.25,0
-1,1,0.51585,21.25,0
1,3,0.50767,5.3125,1
-1,1,1.2228,42.5,0
-1,1,0.64336,10.625,1
1,3,0.55099,5.3125,1
-1,1,0.50826,10.625,1
1,1,0.58013,5.3125,0.5
-1,1,0.7728,42.5,0.5
1,3,0.50515,21.25,1
-1,1,0.54758,10.625,0.5
-1,1,0.55033,42.5,0
-1,1,1.029,21.25,0
1,3,0.50669,10.625,0
-1,1,0.50795,5.3125,1
1,1,1.197,42.5,0
1,3,0.53095,10.625,0.5
-1,1,0.67927,42.5,0
-1,1,0.51273,21.25,1
1,3,0.5226,5.3125,1
-1,3,0.79377,5.3125,0
-1,1,0.67586,21.25,1
-1,1,0.59389,42.5,0.5
1,3,0.64926,5.3125,0
-1,1,0.61615,42.5,0.5
-1,1,0.66151,10.625,0
1,3,0.55597,42.5,0.5
-1,1,0.51454,21.25,1
-1,1,0.59211,42.5,0.5
-1,3,0.50693,42.5,0
-1,3,0.62272,5.3125,0
-1,1,0.50748,10.625,0.5
-1,1,0.50798,5.3125,1
-1,1,0.56052,10.625,0.5
1,3,0.57034,42.5,1
1,3,0.60952,10.625,0
-1,1,0.50614,21.25,1
-1,1,0.50993,21.25,0.5
1,1,0.62921,5.3125,0.5
-1,1,0.54017,42.5,1
1,3,0.73102,21.25,1
-1,1,0.70825,21.25,0
-1,1,0.78748,5.3125,0
-1,3,0.68424,42.5,0
1,3,0.66223,10.625,0
1,3,0.51214,42.5,0
1,3,0.70116,21.25,0
-1,1,0.69921,42.5,0
-1,1,0.50533,21.25,1
1,3,0.53414,21.25,1
1,1,0.51239,42.5,0
-1,1,0.52213,10.625,0.5
-1,1,0.7048,21.25,0.5
1,3,0.60992,21.25,0
1,3,0.76423,10.625,0
1,3,0.6246,21.25,0
1,3,0.51283,42.5,1
-1,1,0.50692,42.5,0.5
-1,1,0.50693,42.5,1
1,1,0.53815,42.5,0.5
1,3,0.55035,21.25,0.5
-1,3,0.51777,10.625,0
-1,1,0.5123,42.5,1
-1,1,0.50704,42.5,1
-1,1,0.50666,10.625,0.5
-1,3,0.64386,5.3125,0
-1,1,0.52224,42.5,0
-1,1,0.50699,42.5,1
-1,1,0.5053,21.25,1
-1,1,0.53025,10.625,0.5
-1,1,0.73798,10.625,0
1,3,0.50809,10.625,1
-1,1,0.5122,42.5,1
-1,1,0.50502,21.25,0.5
-1,1,0.5417,21.25,0.5
-1,1,0.54337,42.5,0.5
-1,3,0.50529,21.25,0
-1,1,0.5209,21.25,1
-1,1,32.1099,10.625,0.5
1,1,0.85695,5.3125,0.5
1,3,0.51478,5.3125,1
1,3,0.73699,10.625,0
-1,3,0.95158,5.3125,0
-1,3,0.53957,21.25,0
1,3,0.50674,10.625,0.5
1,1,0.5468,5.3125,0.5
1,1,0.59206,10.625,0
1,1,0.50787,5.3125,0.5
1,3,0.5062,21.25,1
1,3,0.53501,42.5,0
-1,3,0.5998,10.625,0
1,3,0.74746,21.25,0
1,3,0.50785,21.25,1
-1,3,0.56224,21.25,0
-1,3,0.50668,10.625,0
-1,3,0.52287,42.5,0
1,3,0.50701,42.5,0.5
1,3,0.52203,21.25,0
1,3,0.52258,10.625,0.5
-1,1,0.51269,21.25,1
-1,1,0.51335,21.25,0.5
-1,3,0.58449,21.25,0
1,3,0.50776,21.25,1
-1,3,0.50665,10.625,0
-1,1,0.50797,5.3125,0.5
-1,1,0.67348,21.25,0
-1,1,0.59555,5.3125,0
1,3,0.76757,10.625,1
1,3,0.50582,21.25,1
1,3,0.50785,21.25,0.5
-1,1,0.50674,10.625,0.5
-1,1,0.50609,21.25,1
1,3,0.51184,42.5,1
-1,1,0.64853,5.3125,0
-1,1,0.76756,42.5,0
-1,1,0.511,42.5,0.5
1,3,0.50697,42.5,1
1,3,0.50698,42.5,0.5
-1,1,0.50692,42.5,1
-1,1,0.50532,21.25,1
-1,1,0.53238,5.3125,0.5
-1,1,0.53945,5.3125,0
1,3,0.50839,5.3125,1
1,3,0.50745,10.625,0.5
-1,3,0.59579,42.5,0
-1,1,0.73788,10.625,0.5
1,1,0.51216,42.5,0
-1,1,0.50597,10.625,1
1,3,0.508,5.3125,1
1,3,0.50624,21.25,1
-1,1,0.50773,21.25,0.5
1,1,0.52619,5.3125,0.5
-1,1,0.50743,10.625,0.5
1,3,0.50857,5.3125,0
1,1,0.50839,5.3125,0
-1,1,0.50631,21.25,0.5
-1,1,0.50778,21.25,1
-1,3,0.52106,10.625,0
1,1,0.52088,5.3125,0
1,3,0.53618,5.3125,0.5
1,3,0.52439,21.25,0
-1,1,0.76456,21.25,0.5
1,1,0.5076,5.3125,0
1,3,0.84761,21.25,0
-1,1,0.50656,21.25,0.5
-1,1,0.53689,5.3125,0.5
-1,1,0.50615,21.25,0
1,1,0.51046,21.25,0
1,3,0.50778,5.3125,0
1,3,0.78171,5.3125,0.5
1,3,0.66195,42.5,0.5
1,1,0.52012,21.25,0.5
1,3,0.50678,10.625,0.5
-1,1,0.52924,10.625,0.5
-1,3,0.59164,10.625,0
1,1,0.64354,5.3125,0
-1,1,0.62098,10.625,0
1,3,0.68046,10.625,0
1,3,0.52894,10.625,0.5
1,3,0.51201,42.5,1
-1,1,0.50924,42.5,0
1,1,0.51658,42.5,0.5
1,3,0.50714,5.3125,1
-1,3,0.61253,5.3125,1
-1,1,0.64759,5.3125,0.5
-11,1,0.63318,42.5,0.5
11,3,0.69402,5.3125,1
-11,1,0.53426,10.625,1
-11,1,1.1129,42.5,0.5
-11,3,0.52149,21.25,0
11,3,0.75492,21.25,0
11,1,0.63137,10.625,0
11,3,0.58682,5.3125,0.5
-11,3,0.6372,21.25,0
11,3,0.60475,42.5,1
11,3,0.5874,42.5,0.5
11,1,0.53545,5.3125,0.5
