NumTrials=720, DotSize = 2, Nx = 246, StimulusDuration = 5.000000e-01 
Disparity, MouseButton, ReactionTime, RefreshRate, DotMatch
1,3,0.77208,10.625,0.5
1,3,0.86932,10.625,0
-1,1,1.1479,5.3125,0
1,3,1.0146,21.25,0.5
-1,3,1.248,21.25,0
-1,1,0.78559,10.625,1
1,3,0.80577,10.625,0.5
1,3,1.1766,42.5,0
1,3,2.2081,42.5,1
-1,1,0.77659,10.625,1
1,3,1.8213,5.3125,1
1,3,2.7816,42.5,1
1,3,0.73356,21.25,0.5
1,3,0.827,21.25,0
1,3,0.97218,10.625,0.5
-1,1,0.78733,5.3125,1
-1,3,0.82239,5.3125,0
-1,1,1.1817,42.5,0.5
1,3,0.94047,42.5,0.5
-1,1,1.081,5.3125,1
1,1,3.748,5.3125,0
1,3,0.97753,42.5,0
1,3,1.0709,10.625,1
-1,3,1.2136,5.3125,0
1,3,1.2453,5.3125,0
-1,1,0.9304,10.625,0.5
-1,1,1.412,5.3125,1
1,3,0.69792,10.625,1
-1,3,0.79972,10.625,0
-1,1,0.83834,42.5,0.5
1,3,0.85842,5.3125,1
-1,1,1.2207,5.3125,0.5
1,3,0.74757,42.5,1
-1,1,0.78445,10.625,0
1,3,0.7909,42.5,0.5
1,1,1.3058,5.3125,0
-1,1,0.92146,21.25,0.5
1,3,0.73692,21.25,0.5
-1,1,1.121,5.3125,0
-1,1,0.83137,5.3125,1
1,3,0.75469,42.5,1
-1,1,1.0954,10.625,1
-1,3,1.0475,10.625,0
1,1,1.5939,5.3125,0
1,3,1.1132,5.3125,1
-1,1,0.88592,21.25,0
1,3,0.79994,5.3125,0
1,1,1.2284,42.5,0.5
-1,3,1.3884,42.5,0
1,3,1.0792,21.25,0
1,3,0.74796,21.25,1
-1,1,0.81748,42.5,0.5
-1,3,0.81678,10.625,0
1,1,0.80348,42.5,0
1,3,0.76347,42.5,0.5
-1,1,1.4165,5.3125,1
-1,1,0.79025,21.25,0.5
1,3,1.0622,5.3125,0.5
1,1,1.3477,21.25,0
1,3,0.89101,5.3125,0
1,1,1.065,21.25,0.5
1,3,1.1159,42.5,0.5
-1,1,1.0306,42.5,1
-1,1,0.76947,42.5,0.5
-1,1,1.5182,5.3125,1
1,3,0.79799,5.3125,1
1,1,1.0601,5.3125,0
1,3,1.392,21.25,1
-1,3,1.176,5.3125,0
1,1,2.1075,5.3125,0
1,1,18.4362,42.5,0.5
1,3,0.96685,10.625,1
-1,1,0.92457,21.25,0.5
-1,3,0.75698,42.5,0.5
1,3,0.79456,10.625,1
1,3,0.7723,10.625,1
-1,3,0.79827,21.25,0
-1,3,0.96296,5.3125,0
-1,1,1.1482,10.625,1
1,1,1.7513,21.25,0
1,3,0.87653,42.5,0
-1,1,0.71916,21.25,1
-1,1,0.88755,5.3125,0.5
1,3,0.79329,5.3125,0.5
-1,3,1.1114,5.3125,0
1,3,0.82454,42.5,1
1,3,0.67318,21.25,1
1,3,0.77689,5.3125,0.5
-1,1,0.79648,5.3125,0
-1,1,0.75279,10.625,1
-1,1,0.74803,42.5,1
1,3,0.72793,21.25,1
1,3,1.2995,10.625,0.5
-1,1,0.91041,21.25,0.5
1,3,0.99403,21.25,0.5
-1,3,0.66415,21.25,0
1,3,0.61643,42.5,1
-1,3,0.70529,42.5,0
1,3,0.84636,21.25,0
-1,1,0.77239,10.625,0.5
-1,1,0.73298,42.5,1
1,3,0.85097,5.3125,0.5
1,3,0.83097,10.625,0
-1,3,0.78746,10.625,0
1,3,0.75369,21.25,1
-1,1,0.78941,5.3125,0.5
1,3,0.8353,10.625,1
-1,1,0.78786,10.625,1
-1,1,1.0296,10.625,0.5
1,3,0.82107,21.25,0.5
-1,1,0.77075,21.25,1
1,3,0.72038,21.25,1
1,3,0.70971,42.5,1
-1,1,0.81567,5.3125,1
-1,3,0.81734,5.3125,0
1,3,0.76847,42.5,1
1,3,0.76139,10.625,0
-1,3,0.7395,42.5,0
-1,1,0.9095,5.3125,0.5
1,3,0.73316,21.25,1
1,3,0.85601,5.3125,1
1,3,1.789,5.3125,0.5
1,3,0.75565,42.5,1
-1,1,0.51088,21.25,1
1,3,0.70088,42.5,0.5
1,3,0.59984,21.25,0.5
1,3,0.79687,10.625,0.5
-1,1,1.0286,5.3125,0
-1,3,0.78517,42.5,0.5
-1,1,0.78651,10.625,1
1,3,0.82103,42.5,0.5
1,1,1.8981,21.25,0
-1,3,0.97145,42.5,0.5
1,1,1.4515,42.5,0
1,3,1.381,10.625,1
1,1,0.80685,21.25,0
-1,1,1.1224,10.625,0.5
-1,1,1.2015,10.625,0.5
1,3,1.0081,21.25,1
-1,1,0.66163,21.25,1
1,3,0.92575,42.5,0
-1,3,0.80486,42.5,0
1,3,0.79112,42.5,0
1,3,1.1246,5.3125,1
-1,3,0.87682,42.5,0
-1,1,1.7266,21.25,0.5
1,3,0.94728,5.3125,0.5
-1,1,0.79045,21.25,1
1,3,1.1414,10.625,0.5
1,3,0.78546,21.25,1
1,3,0.91275,10.625,1
1,1,1.5076,10.625,0
-1,3,0.74811,10.625,0
1,3,0.79322,10.625,0.5
1,3,0.82401,42.5,1
-1,3,1.2403,42.5,0
-1,1,0.86326,42.5,1
1,3,0.77472,42.5,1
-1,1,1.0532,21.25,0.5
1,3,0.74989,42.5,1
1,3,1.49,21.25,0.5
1,1,3.1068,21.25,0
-1,1,1.0361,42.5,1
-1,3,0.77703,42.5,0
1,3,0.82682,42.5,0.5
1,3,0.78627,21.25,1
-1,1,1.1963,5.3125,0.5
-1,3,0.82822,5.3125,0.5
1,3,0.83167,42.5,0
-1,1,0.96983,10.625,0.5
-14,1,1.4229,5.3125,0
-14,3,1.1849,10.625,0
-14,3,0.79288,21.25,0
14,3,0.73066,42.5,1
14,3,2.2077,10.625,0.5
-14,3,1.2702,42.5,0.5
-14,1,0.91167,42.5,0.5
14,3,0.9282,42.5,0.5
-14,1,1.1445,5.3125,1
-14,3,1.0164,5.3125,1
14,3,0.95711,10.625,1
-14,3,0.80725,5.3125,0.5
14,3,0.78682,5.3125,1
-14,3,1.0366,5.3125,0
14,1,0.86764,5.3125,0
-14,3,0.83943,21.25,1
14,3,0.94445,5.3125,1
14,1,0.86775,21.25,0
14,1,0.99485,42.5,1
-14,3,5.1227,5.3125,0
14,1,0.97435,21.25,0.5
14,1,1.2036,42.5,1
14,3,0.85031,10.625,0
14,1,2.4732,10.625,0.5
14,3,1.8856,42.5,0.5
14,3,0.90706,42.5,0.5
14,3,0.71492,5.3125,1
-14,3,0.73463,42.5,1
14,1,0.75321,42.5,0
14,1,1.0986,42.5,0
14,3,0.6833,21.25,0
14,3,0.70416,21.25,0.5
-14,3,1.2447,42.5,0
-14,1,0.8216,5.3125,0.5
14,3,0.84339,5.3125,0
-14,1,0.99502,42.5,1
-14,3,0.90645,42.5,0.5
14,1,0.83497,42.5,0.5
-14,3,0.76649,21.25,0.5
-14,1,1.7751,10.625,1
14,3,1.1545,5.3125,0
14,3,0.87324,21.25,0
-14,1,0.8318,21.25,0
14,3,0.77798,5.3125,0.5
-14,1,0.94581,21.25,1
-14,3,0.69783,21.25,0
-14,3,0.80598,21.25,0
-14,3,0.78225,10.625,0
14,1,1.0739,5.3125,0.5
14,3,0.74879,10.625,0.5
-14,1,1.26,42.5,0
14,3,0.72754,10.625,0.5
14,3,0.77205,10.625,1
14,3,0.75415,42.5,0
-14,1,0.79325,42.5,0
-14,3,0.6872,42.5,0.5
14,3,0.83126,42.5,1
-14,3,0.8256,5.3125,0.5
-14,3,1.0632,5.3125,1
14,3,0.8128,10.625,1
14,3,0.74093,10.625,0
14,1,0.81392,42.5,0.5
14,3,0.76194,5.3125,1
-14,1,0.91816,5.3125,0
-14,3,0.69934,21.25,0.5
-14,1,0.90655,42.5,0.5
-14,3,0.68742,10.625,1
-14,3,0.68189,5.3125,1
-14,1,1.3393,5.3125,0
-14,3,0.7881,5.3125,1
-14,3,0.77209,10.625,0
-14,3,0.87986,42.5,1
14,1,0.89319,5.3125,0
14,3,0.71658,42.5,0.5
-14,3,0.80664,42.5,0.5
-14,1,0.78961,21.25,1
-14,3,0.8242,21.25,1
14,3,1.859,21.25,0
-14,1,1.1876,42.5,0
14,3,1.1257,10.625,0
14,3,0.73734,5.3125,0.5
14,3,0.75347,10.625,0.5
14,1,0.90054,10.625,0
-14,1,21.8448,21.25,0.5
-14,1,0.97048,5.3125,0.5
-14,3,0.82204,21.25,0
14,3,0.65173,21.25,0.5
14,3,0.63708,10.625,1
-14,1,0.76651,10.625,0
-14,3,0.7642,10.625,0.5
14,3,0.82959,10.625,1
14,1,1.0088,42.5,0.5
14,3,0.67707,42.5,1
14,1,0.83222,5.3125,0.5
14,3,0.73013,21.25,0.5
