NumTrials=720, DotSize = 2, Nx = 246, StimulusDuration = 5.000000e-01 
Disparity, MouseButton, ReactionTime, RefreshRate, DotMatch
-1,3,1.0976,42.5,0
-1,1,1.4432,5.3125,1
-1,1,2.0371,5.3125,0
1,3,0.79426,10.625,0.5
1,3,0.76629,21.25,1
-1,1,0.72509,10.625,1
-1,1,0.74445,21.25,1
-1,1,3.0816,42.5,0
1,3,0.76731,42.5,1
1,3,2.0364,5.3125,1
1,3,0.85438,5.3125,0.5
1,1,1.718,21.25,1
1,3,1.3021,42.5,1
1,1,1.7966,42.5,0.5
1,3,1.5512,21.25,1
1,3,1.4213,21.25,0
-1,1,1.6045,42.5,0
-1,1,3.7657,21.25,0
1,3,0.78335,5.3125,1
1,1,0.81089,5.3125,1
-1,1,0.78128,5.3125,1
-1,1,0.84704,5.3125,0
-1,1,1.0141,5.3125,0.5
1,1,1.6767,5.3125,0
-1,1,0.88845,5.3125,0.5
-1,1,0.75293,42.5,1
-1,1,0.83586,42.5,0.5
1,3,0.70345,21.25,0
1,3,1.2206,21.25,0
1,1,0.80239,5.3125,0
1,3,0.72462,10.625,1
1,1,0.79118,21.25,0
-1,1,0.72637,10.625,1
1,3,0.68188,21.25,0.5
1,1,0.72504,21.25,0
-1,1,0.56975,21.25,1
-1,1,1.2394,21.25,0.5
1,1,0.94163,5.3125,0
1,1,1.2765,5.3125,0
-1,1,0.96024,5.3125,0
1,1,0.85761,5.3125,0
1,3,0.8732,21.25,1
-1,1,0.93574,21.25,0.5
-1,1,0.67315,42.5,1
1,3,1.1145,5.3125,0
-1,1,0.78788,10.625,0.5
-1,1,0.83595,42.5,0.5
-1,1,0.83096,10.625,1
-1,1,1.2206,5.3125,1
1,3,0.79439,10.625,1
-1,1,0.79314,5.3125,1
-1,1,0.79246,5.3125,0.5
1,3,0.58691,21.25,1
-1,1,0.81107,5.3125,1
1,3,0.72938,10.625,0.5
-1,1,0.56033,21.25,1
-1,3,0.66926,42.5,0
1,3,0.62788,21.25,1
