NumTrials=1200, DotSize = 3, Nx = 308, StimulusDuration = 5.000000e-01 
Disparity, MouseButton, ReactionTime, RefreshRate, DotMatch
1,3,0.50762,10.625,0.25
1,3,0.52041,42.5,0.75
-1,3,0.5165,10.625,0
1,3,0.50951,5.3125,0.75
1,1,0.50807,10.625,0.5
1,3,0.51602,21.25,1
1,3,0.50973,21.25,0
-1,1,0.53591,21.25,0.75
-1,3,0.52073,42.5,0.25
-1,1,0.51713,10.625,0.5
-1,1,1.6963,10.625,0.75
1,3,0.51068,10.625,0.75
1,3,0.92976,42.5,0
1,1,0.5528,42.5,0.25
-1,1,0.53855,42.5,0.5
1,3,0.51412,21.25,0.5
1,3,0.63471,42.5,0.75
1,3,0.56075,42.5,0.75
1,3,0.55178,10.625,0.5
1,3,0.53399,5.3125,1
-1,3,0.85186,42.5,0
1,3,0.50537,10.625,0.75
1,3,0.51977,42.5,1
-1,1,0.51386,21.25,1
1,3,0.51964,42.5,0.75
-1,1,0.51522,10.625,0.75
-1,3,0.58057,5.3125,0
-1,3,0.69158,42.5,0
-1,1,0.60433,21.25,0.75
1,1,0.57575,10.625,0.25
-1,1,0.50957,5.3125,0.5
-1,1,0.56713,5.3125,0.75
-1,1,0.62249,21.25,0.25
-1,1,0.50883,5.3125,1
-1,1,0.57317,10.625,0.25
1,1,0.58553,5.3125,0.25
1,3,0.51125,5.3125,1
1,3,0.51126,5.3125,1
1,3,0.53505,5.3125,0.75
1,3,0.52044,42.5,1
-1,3,0.51391,21.25,0.25
-1,3,0.5196,42.5,0.25
1,3,0.62781,5.3125,0.25
1,3,0.52085,42.5,1
1,3,0.51392,21.25,1
1,3,0.52695,5.3125,1
1,3,0.71466,5.3125,0.5
-1,3,0.51126,5.3125,0
-1,1,0.57219,5.3125,0.25
1,3,0.52079,42.5,1
1,3,0.5195,42.5,0.25
1,3,0.51395,21.25,1
1,3,0.52106,10.625,0.5
-1,1,0.54484,5.3125,0.5
1,3,0.51127,5.3125,1
-1,3,0.5066,21.25,0.25
-1,1,0.51109,5.3125,0.75
1,1,0.51079,10.625,0.75
1,3,0.51067,10.625,0.5
-1,1,0.50949,5.3125,0.75
1,1,0.54881,5.3125,0
-1,1,0.58638,5.3125,0.25
-1,3,0.52117,42.5,0
1,3,0.51954,42.5,0.25
1,3,0.51381,21.25,0.5
-1,3,0.58248,21.25,0.25
1,3,0.69372,10.625,0.75
1,3,0.53626,21.25,0
1,3,0.52002,42.5,1
-1,1,0.54597,42.5,0.5
1,3,0.81453,5.3125,0.25
1,1,0.61227,42.5,0.5
-1,1,0.54317,10.625,0.5
1,1,0.63703,42.5,0.5
-1,1,0.55221,10.625,0.75
1,1,0.5504,5.3125,0.75
1,3,0.51945,21.25,0.75
1,3,0.5097,21.25,0.25
-1,1,0.52127,42.5,0.5
-1,1,0.51951,42.5,0.25
-1,1,1.4408,21.25,1
-1,1,0.50974,21.25,0.5
1,1,0.6276,5.3125,0
-1,1,0.51678,21.25,0.25
1,3,0.55355,42.5,0.5
1,1,0.51948,42.5,0
1,1,0.63725,5.3125,0.5
-1,1,0.52272,42.5,0.5
1,1,0.56585,5.3125,0.5
1,1,0.54434,5.3125,0.25
-1,1,0.52292,42.5,0.75
-1,1,0.55532,42.5,0
-1,1,0.51438,21.25,0
1,1,0.50984,21.25,0.25
-1,1,0.50981,21.25,0.5
1,1,0.50715,10.625,0.5
1,3,0.51047,5.3125,0
-1,1,0.50811,10.625,1
-1,1,0.51061,10.625,1
1,1,0.53428,42.5,0.25
1,1,0.51432,21.25,0.25
1,1,0.50978,21.25,0
1,1,0.54521,42.5,0.25
-1,1,0.55626,42.5,0
-1,1,0.5067,5.3125,1
1,1,0.5245,21.25,0
1,3,0.50981,21.25,1
1,3,0.50714,10.625,1
1,3,0.5565,10.625,0.75
-1,1,0.52286,42.5,0.75
1,1,0.53808,10.625,0.5
-1,1,0.51068,10.625,0.75
1,1,0.69373,10.625,0.25
1,1,0.58637,10.625,0.5
-1,3,0.64091,42.5,0.25
-1,1,0.55654,5.3125,1
1,3,0.72699,42.5,0.75
-1,3,0.68607,10.625,0
-1,1,0.67454,5.3125,0
1,3,0.62673,21.25,0
1,3,0.91423,21.25,0.25
1,1,0.57913,21.25,0.75
-1,1,0.68262,10.625,1
-1,1,0.73176,42.5,0.25
-1,1,0.55637,21.25,0.5
1,3,0.59225,5.3125,1
-1,1,0.66165,42.5,0.25
1,3,0.53713,5.3125,0.25
-1,1,0.61075,5.3125,1
1,3,0.60965,42.5,0.5
-1,1,0.51952,42.5,0.75
1,1,0.641,21.25,0.25
-1,1,0.57971,21.25,0.5
-1,1,0.51666,5.3125,0.75
-1,1,0.52135,10.625,0.5
