NumTrials=1200, DotSize = 3, Nx = 308, StimulusDuration = 5.000000e-01 
Disparity, MouseButton, ReactionTime, RefreshRate, DotMatch
1,3,0.94026,21.25,0.5
-1,1,0.62039,10.625,0.75
-1,1,0.6334,10.625,0.75
-1,3,1.002,42.5,0.75
-1,1,0.55082,10.625,1
-1,3,0.62836,5.3125,0
1,3,0.70522,5.3125,0.25
1,3,0.71531,42.5,0.75
1,3,0.65099,21.25,1
-1,3,0.59909,10.625,0.25
1,3,0.61031,42.5,0.5
1,3,0.55047,10.625,1
1,3,0.74663,42.5,1
-1,3,0.56798,21.25,0
1,1,0.65955,5.3125,0.25
1,1,0.87779,5.3125,0
-1,1,0.53513,10.625,1
1,3,0.61082,10.625,0.5
1,1,0.7004,5.3125,0.5
-1,1,0.6237,10.625,0.5
-1,3,0.64039,21.25,0
1,1,0.87337,10.625,0
-1,1,0.68888,10.625,0.5
-1,1,0.61729,10.625,0.75
1,3,0.59122,5.3125,0.25
-1,3,0.73252,42.5,0
-1,1,0.52089,5.3125,1
1,3,0.6309,10.625,0.25
1,1,0.62039,10.625,0
1,3,0.59044,21.25,0.25
1,1,0.71865,42.5,0.25
1,3,0.56833,42.5,0.5
1,1,0.66972,5.3125,0.75
1,3,0.57094,10.625,0
-1,1,0.57926,10.625,0.25
1,3,0.54678,42.5,0.25
1,3,0.5724,42.5,0.5
1,1,0.66556,5.3125,0.5
1,1,0.51241,42.5,0
-1,1,0.51956,42.5,0.75
1,1,0.51955,42.5,0.5
-1,1,0.53517,10.625,1
1,3,0.56248,42.5,0.5
1,3,0.66228,10.625,1
-1,1,0.57829,5.3125,0.5
1,1,0.5712,10.625,0.75
-1,1,0.70469,42.5,0.75
-1,1,0.67358,42.5,0.5
-1,1,0.67551,10.625,0.75
-1,1,0.7156,5.3125,0.25
-1,1,0.8221,5.3125,0.75
1,1,0.58914,5.3125,0
1,1,0.63272,10.625,0.75
-1,1,0.64789,42.5,0.25
1,1,0.72517,10.625,0
1,1,0.83855,21.25,1
-1,1,0.5454,5.3125,0.75
-1,1,0.52634,10.625,1
-1,3,0.53518,42.5,0
-1,3,0.58051,42.5,1
1,3,0.59404,21.25,0
-1,1,0.61708,42.5,0.5
1,3,0.66658,10.625,0.25
-1,1,0.7147,5.3125,1
-1,1,0.53044,42.5,1
1,3,0.50894,10.625,0.25
1,3,0.56973,5.3125,0.5
1,3,0.65997,21.25,0.5
1,3,0.52527,42.5,1
-1,3,0.62872,10.625,0.25
1,3,0.78423,21.25,0
-1,1,0.54399,42.5,0.75
-1,1,0.5601,10.625,0.75
1,3,0.62255,21.25,0.25
-1,3,0.68568,21.25,0.25
-1,3,0.74116,5.3125,0
1,3,0.53815,10.625,1
-1,3,0.56906,5.3125,0
-1,3,0.79538,21.25,0.25
1,3,0.56993,21.25,0.5
-1,1,0.527,5.3125,1
1,3,0.58736,10.625,0.5
1,1,0.54725,5.3125,0
